"","x"
"463",118003887.694354
"464",124489899.320109
"465",100825062.689249
"466",134888921.692842
"467",93971918.8791306
"468",103461569.803065
"469",107886813.211504
"470",101007174.431027
"471",105717189.488035
"472",117081999.771839
"473",105249712.631222
"474",99416309.1974158
"475",96087439.6681753
"476",107845719.398754
"477",105759544.375113
"478",123770979.25034
"479",100667854.341867
"480",115502877.579954
"481",117953196.293569
"482",103896073.028999
"483",109627591.304238
"484",110634627.719526
"485",107690109.554079
"486",116222741.690687
"487",89196778.901867
"488",100817762.972897
"489",116075381.943174
"490",116243758.777539
"491",97224838.441712
"492",106108927.057804
"493",113356734.863916
"494",103004294.860273
"495",103453330.534719
"496",106719973.662843
"497",118911142.283731
"498",108667229.876171
"499",107481731.416
"500",119151146.189219
"501",112630312.782548
"502",103570646.083524
"503",111696317.122981
"504",107296656.929877
"505",104819848.45395
"506",101757040.640227
"507",92520590.4389183
"508",101541783.64722
"509",104921055.784991
"510",101951841.117179
"511",110961632.565259
"512",113592532.620512
"513",105237031.485911
"514",122138417.31344
"515",121219612.911624
"516",108015691.965008
"517",95618278.0536031
"518",111805624.035825
"519",110927193.367795
"520",103030383.409852
"521",116050394.366408
"522",109999163.068746
"523",105896464.607044
"524",176674239.661381
"525",113358236.189554
"526",104645253.836414
"527",106835967.287392
"528",119279595.587727
"529",100857775.726735
"530",101449177.47193
"531",101160436.323902
"532",100073558.832684
"533",129752345.710979
"534",110635706.072957
"535",109414950.761392
"536",106504022.536726
"537",110769358.339468
"538",113383238.401877
"539",89490405.0201515
"540",99486661.210366
"541",112185301.865231
"542",108720869.827867
"543",111459964.106827
"544",99144879.82737
"545",104415425.754359
"546",114743338.314516
"547",106765590.763805
"548",132187433.720273
"549",103742031.520987
"550",116737126.782901
"551",103375155.548498
"552",97119828.8050415
"553",109553782.701525
"554",106032033.366987
"555",106747069.441308
"556",103051676.237656
"557",96576042.8141897
"558",106380280.94732
"559",105578256.77395
"560",106787382.959771
"561",110922120.594875
"562",133373953.829564
"563",113677669.445586
"564",109407044.994439
"565",103690975.379932
"566",109323465.343463
"567",121405200.664757
"568",120537505.07915
"569",101863306.150678
"570",98695617.9557938
"571",108863494.267913
"572",119767411.055058
"573",105937733.481302
"574",116138538.790445
"575",112866835.24817
"576",99959769.611118
"577",119530401.344146
"578",105172858.597485
"579",116632361.087573
"580",108451018.78316
"581",107161883.579219
"582",112803149.836077
"583",101692169.489129
"584",107299224.83758
"585",114312232.078618
"586",126850506.787111
"587",102390636.78727
"588",107195078.299307
"589",103759969.544095
"590",125313807.3234
"591",104767438.623833
"592",107756102.582981
"593",104620771.639246
"594",106246865.082516
"595",116153681.08837
"596",101302570.968832
"597",107040007.437725
"598",114621401.606674
"599",106342561.137975
"600",105924491.728314
"601",105109127.218519
"602",102714753.528536
"603",101549790.701394
"604",107056273.049405
"605",105557133.480654
"606",98115631.9731722
"607",106780541.954076
"608",113456814.067298
"609",106667928.150519
"610",96164344.9262478
"611",112059498.551061
"612",105690630.357014
"613",112749041.489872
"614",107564284.671925
"615",132465721.735986
"616",174595442.100672
"617",104596026.475724
"618",116608787.557188
"619",117606278.185243
"620",121775112.841453
"621",99012902.3953384
"622",101456516.514148
"623",111296645.802444
"624",110145766.756652
"625",106229683.155994
"626",107604027.758335
"627",97959670.4102291
"628",122751823.932115
"629",108039952.070481
"630",104007374.65559
"631",111422343.980114
"632",197439330.060793
"633",103704545.134127
"634",98703086.7609455
"635",112164198.574379
"636",115237806.510244
"637",109298943.130605
"638",112660493.881833
"639",100797900.85917
"640",105425020.299251
"641",119485145.357445
"642",110154182.012024
"643",132093744.592364
"644",115946905.770561
"645",118762213.228027
"646",99394757.9017448
"647",108616938.514928
"648",110676733.667403
"649",115981666.28403
"650",101540153.47314
"651",115311554.980408
"652",99991442.1695008
"653",119725435.090665
"654",102184175.635974
"655",106417503.647495
"656",126340603.754224
"657",124257056.893328
"658",102409613.783539
"659",117620073.787614
"660",102027895.964981
"661",108691902.475759
"662",101950625.920275
"663",101414763.772157
"664",96495226.1925779
"665",117495798.032565
"666",110205615.177101
"667",120081887.545635
"668",118396969.420695
"669",119506314.552534
"670",103133363.30942
"671",97392889.0202452
"672",91436127.9496709
"673",116755870.709647
"674",97261927.180731
"675",106308188.099612
"676",111936054.713829
"677",97253444.6337529
"678",104411408.357193
"679",108860547.818308
"680",109222428.196138
"681",97238886.7648558
"682",109459836.897859
"683",114908372.106195
"684",113961425.968485
"685",110856811.345598
"686",114352145.61848
"687",113770301.052697
"688",104400582.948723
"689",105990783.095242
"690",102465887.046768
"691",129384504.949018
"692",105409678.468335
"693",107481508.312302
"694",107575381.095441
"695",113649552.604825
"696",114407089.298631
"697",111740969.825758
"698",101299131.955377
"699",107700436.46771
"700",113478164.047472
"701",113249555.072459
"702",116446771.974889
"703",117774733.876633
"704",104353997.942205
"705",100125428.113633
"706",102616383.184589
"707",104743298.447576
"708",106476848.552941
"709",118790020.29543
"710",134713906.448556
"711",97712341.7261827
"712",106291503.262134
"713",107355412.054002
"714",122094780.03955
"715",102416970.151626
"716",106102034.036387
"717",106707902.456103
"718",100430995.898837
"719",115654847.022521
"720",102170811.070658
"721",118422881.689387
"722",109217598.937865
"723",103768399.185688
"724",101640789.484037
"725",121290142.14973
"726",101575564.388852
"727",98084356.9473386
"728",116818706.180714
"729",99891940.12702
"730",106847442.107281
"731",149776827.773837
"732",106785094.482618
"733",107077268.484836
"734",111408689.135854
"735",109705151.345245
"736",95690416.3193028
"737",110525863.163781
"738",100189193.583504
"739",117959893.543239
"740",112065566.311151
"741",115960927.169392
"742",97734346.4480029
"743",91962726.4797067
"744",108996229.805132
"745",114274318.147907
"746",109356866.024196
"747",96185305.9379595
"748",95638024.8556511
"749",107794390.890259
"750",115388454.721819
"751",114097115.017105
"752",121835594.3148
"753",117436641.554913
"754",107470439.374801
"755",93542349.3419955
"756",106694115.870803
"757",116504559.069885
"758",110718644.1809
"759",101674429.853232
"760",116797879.145362
"761",104697393.944298
"762",105465905.272169
"763",117008445.431499
"764",95281725.4207089
"765",98702043.0695286
"766",122227369.192696
"767",105818666.664536
"768",112036397.69935
"769",112201329.923071
"770",105071891.981572
"771",89781642.8811773
"772",119941982.015435
"773",104656222.140209
"774",94341781.7572246
"775",121770486.991796
"776",104036375.270127
"777",104721654.386622
"778",107902530.555314
"779",111279501.146564
"780",121289326.876204
"781",105818240.389324
"782",110830611.093094
"783",109014269.278711
"784",109617251.603078
"785",114246075.827889
"786",131625027.701465
"787",109380306.767786
"788",118563217.770379
"789",101574927.266691
"790",100710970.822319
"791",106109720.769777
"792",113366843.368249
"793",105117749.374307
"794",105851322.302249
"795",121961265.102666
"796",102442840.800068
"797",111376416.906609
"798",109901746.195148
"799",117322293.152712
"800",101394893.782866
"801",117850675.912859
"802",139616316.620548
"803",102484167.678686
"804",100625266.169301
"805",124556764.346514
"806",101610744.288611
"807",130673714.428212
"808",112259669.545478
"809",103571133.6616
"810",112732381.784116
"811",105922110.510583
"812",116589251.990585
"813",116573557.75025
"814",101573886.088486
"815",107505210.944558
"816",101210096.081613
"817",102417137.484142
"818",122119403.037342
"819",100981868.803924
"820",101632968.021483
"821",120996804.983733
"822",104279757.101073
"823",133788164.508829
"824",102177924.933876
"825",105229999.898491
"826",103482787.520893
"827",109293434.546912
"828",96105884.5010258
"829",102512246.130199
"830",110039187.683584
"831",111053114.214511
"832",128846687.262993
"833",125554758.245742
"834",116844502.583736
"835",99066147.820592
"836",110499761.498491
"837",427103713.668063
"838",109848260.13904
"839",108034320.124511
"840",106175173.790714
"841",91810595.9866785
"842",96123750.3906448
"843",102301200.150929
"844",115630101.300188
"845",105489917.429418
"846",108526286.799813
"847",106954630.97084
