"","x"
"173",123480305.736018
"174",120862629.531108
"175",136845524.672601
"176",107820906.973504
"177",98720542.1688506
"178",97924749.2826894
"179",108002769.72226
"180",102360372.137001
"181",105265036.725805
"182",124383663.083236
"183",110476864.561421
"184",118441397.095426
"185",97847765.0125548
"186",108985403.509137
"187",115898876.580928
"188",97452262.2051005
"189",116736288.849739
"190",124517152.600575
"191",110725552.588232
"192",98162667.4129563
"193",105726599.420265
"194",103165380.824465
"195",123919233.58676
"196",115694258.795716
"197",123313802.322568
"198",96679619.4568611
"199",105056552.496768
"200",106146007.815637
"201",126369460.541199
"202",109169835.813486
"203",106097201.917378
"204",95962534.694274
"205",115204062.269993
"206",100872035.576981
"207",107218729.485404
"208",103824295.435877
"209",110240889.96786
"210",119380977.951603
"211",106355759.817691
"212",98273107.7226275
"213",127758425.124933
"214",109785049.591022
"215",111265993.303108
"216",96975175.9138328
"217",274449946.977275
"218",113018341.102171
"219",110274125.321234
"220",107356075.90653
"221",101116007.289076
"222",140522273.712241
"223",106826372.579203
"224",101528501.785136
"225",119159012.732945
"226",114678433.873841
"227",101256873.227251
"228",122836536.775072
"229",105724486.481315
"230",133767680.385092
"231",96436424.1057746
"232",116657436.930596
"233",101112182.363005
"234",112889423.500849
"235",117388183.551128
"236",97187171.096812
"237",106301304.272536
"238",115428878.42674
"239",118335190.669429
"240",107755839.31713
"241",109647428.416258
"242",97425137.6120194
"243",116711487.241865
"244",106968210.851939
"245",130373767.143385
"246",102047361.445056
"247",135463867.145176
"248",97667809.0593282
"249",111220797.887789
"250",104984053.619522
"251",100158105.127703
"252",114899006.157665
"253",139294713.023674
"254",101323865.836565
"255",105840814.36165
"256",110837688.425873
"257",99730243.5448214
"258",112501555.755104
"259",108936329.036604
"260",106424735.231307
"261",100723186.53804
"262",113510106.222978
"263",99901630.7368568
"264",111592553.086401
"265",102311939.57711
"266",124714667.586883
"267",93567071.3661853
"268",182591348.946871
"269",119917792.747774
"270",115850953.097406
"271",109429352.370025
"272",111742267.384985
"273",95504155.7284163
"274",109092894.512046
"275",115399999.370882
"276",109722787.71008
"277",108155734.732638
"278",121015137.342023
"279",112433409.440433
"280",109447423.158273
"281",110820581.379281
"282",127116899.983704
"283",102370627.155176
"284",100777219.337807
"285",116355753.880202
"286",116594146.880169
"287",96808066.7151755
"288",113187171.065341
"289",112246830.291445
"290",105435701.422997
"291",109979730.010945
"292",84198529.071366
"293",104474678.407971
"294",126888055.090756
"295",99653636.7905593
"296",111551326.665997
"297",102765136.111083
"298",120174416.196599
"299",105128403.386629
"300",102495364.7528
"301",116750972.927582
"302",130856190.035445
"303",121461570.447615
"304",103466902.804919
"305",123528839.077401
"306",120358985.043387
"307",121399385.148514
"308",110470173.702209
"309",103157758.910462
"310",109543686.123731
"311",120319914.632352
"312",102596431.683123
"313",128254064.613581
"314",113175717.945841
"315",104999014.535896
"316",116415111.424373
"317",126498608.535201
"318",114721703.820783
"319",104904585.259956
"320",113726919.79467
"321",121690431.372314
"322",108801132.223852
"323",102221652.625236
"324",129860297.941743
"325",102701374.195791
"326",114078436.058815
"327",109266322.196513
"328",111093334.926326
"329",97875965.1901314
"330",112553146.687316
"331",108598589.843506
"332",102250708.992544
"333",108713363.718143
"334",112787260.628669
"335",101047005.775431
"336",105390748.789933
"337",114663851.470303
"338",123729942.815981
"339",104606247.898238
"340",103631034.969322
"341",112461800.32229
"342",117179475.31943
"343",109469769.077249
"344",113131785.567052
"345",104277506.021013
"346",110823339.951612
"347",111358253.422234
"348",107053412.927986
"349",103389419.422863
"350",100929014.799708
"351",98254299.3170658
"352",106072158.649267
"353",112795237.622101
"354",110148304.598779
"355",99797061.7281524
"356",105949922.587336
"357",114355509.635451
"358",88986127.0656669
"359",129826469.020527
"360",106134846.021517
"361",113703480.71266
"362",100833792.90531
"363",105546250.559969
"364",114918870.404353
"365",109496815.195976
"366",94186911.3527426
"367",112804736.731294
"368",112925733.882228
"369",98059667.9673761
"370",118313258.179164
"371",107478350.238447
"372",107767014.965408
"373",99538493.4802453
"374",107551713.832711
"375",104639631.345834
"376",99440757.7869975
"377",109352593.522563
"378",106531878.091454
"379",112472422.593332
"380",110009228.558526
"381",109098950.993117
"382",121175007.958487
"383",107603273.602045
"384",105880880.521147
"385",102766591.711499
"386",108208157.050659
"387",103087342.016249
"388",107080717.316237
"389",113261521.102941
"390",105915220.018802
"391",101952148.900525
"392",108037697.660513
"393",106760417.797927
"394",121981944.765629
"395",141417519.40452
"396",113933815.171371
"397",90023344.1618011
"398",102996424.928875
"399",117202354.141641
"400",119927137.198908
"401",97388385.0913938
"402",111926365.765146
"403",105643850.204608
"404",119571160.433442
"405",126330621.77273
